,SPECIES,COUNTRY,REGION,PROCESSING_METHOD,AROMA,FLAVOR,AFTERTASTE,ACIDITY,BODY,BALANCE,UNIFORMITY,CLEAN_CUP,SWEETNESS,CUPPER_POINTS,TOTAL_CUP_POINTS,MOISTURE,COLOR,UNIT_OF_MEASUREMENT,ALTITUDE_LOW_METERS,ALTITUDE_HIGH_METERS,ALTITUDE_MEAN_METERS,COUNTRY_CODE,LATITUDE,LONGITUDE
37,Arabica,Ethiopia,yirgacheffe,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.58,0.0,None,m,1700.0,2000.0,1850.0,ETH,8,38
38,Arabica,Ethiopia,oromia,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.5,0.1,None,m,1600.0,1600.0,1600.0,ETH,8,38
39,Arabica,Ethiopia,limu,None,7.75,8.0,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,83.17,0.01,None,m,1850.0,1850.0,1850.0,ETH,8,38
40,Arabica,Ethiopia,"blida,kercha,guji,oromia",Washed / Wet,7.58,7.58,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.58,82.92,0.0,Bluish-Green,m,2000.0,2000.0,2000.0,ETH,8,38
41,Arabica,Ethiopia,sidamo,Natural / Dry,7.42,7.33,7.17,7.33,7.42,7.17,10.0,10.0,10.0,7.25,81.08,0.11,None,m,,,,ETH,8,38
42,Arabica,Ethiopia,kelem welega,None,7.25,7.25,7.25,7.33,7.5,8.0,9.33,9.33,10.0,7.08,80.33,0.1,None,m,,,,ETH,8,38
43,Arabica,Ethiopia,limu,None,7.42,7.42,7.5,7.92,7.75,7.58,8.67,9.33,8.67,7.75,80.0,0.05,None,m,,,,ETH,8,38
44,Arabica,Guatemala,,None,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,None,m,1600.0,1800.0,1700.0,GTM,15.5,-90.25
45,Arabica,Guatemala,nuevo oriente,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,Green,m,,,,GTM,15.5,-90.25
46,Arabica,Guatemala,acatenango,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,Green,ft,1524.0,1524.0,1524.0,GTM,15.5,-90.25
47,Arabica,Guatemala,nuevo oriente,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,Bluish-Green,ft,1417.32,1417.32,1417.32,GTM,15.5,-90.25
48,Arabica,Guatemala,huehuetenango,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,Green,ft,1706.88,1755.648,1731.264,GTM,15.5,-90.25
49,Arabica,Guatemala,huehuetenango,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,Green,m,1770.0,1770.0,1770.0,GTM,15.5,-90.25
50,Arabica,Guatemala,oriente,None,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0.1,Green,m,,,,GTM,15.5,-90.25
51,Arabica,Guatemala,huehuetenango,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.0,None,m,1400.0,1400.0,1400.0,GTM,15.5,-90.25
52,Arabica,Guatemala,"chuva, san marcos",None,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0,0.04,None,ft,1066.8,1584.96,1325.88,GTM,15.5,-90.25
53,Arabica,Guatemala,acatenango,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67,0.1,Green,m,1600.0,1600.0,1600.0,GTM,15.5,-90.25
54,Arabica,Guatemala,oriente,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,84.67,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
55,Arabica,Guatemala,acatenango,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,84.67,0.12,Green,ft,1524.0,1524.0,1524.0,GTM,15.5,-90.25
56,Arabica,Guatemala,jalapa,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58,0.11,Green,ft,1524.0,1524.0,1524.0,GTM,15.5,-90.25
57,Arabica,Guatemala,oriente,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58,0.09,Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
58,Arabica,Guatemala,oriente,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
59,Arabica,Guatemala,"el tumbador, san marcos",Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,84.5,0.11,Green,m,,,,GTM,15.5,-90.25
60,Arabica,Guatemala,nuevo oriente,None,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,7.92,84.33,0.04,None,ft,1341.12,1432.56,1386.84,GTM,15.5,-90.25
61,Arabica,Guatemala,antigua,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,84.25,0.11,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
62,Arabica,Guatemala,huehuetenango,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,84.25,0.1,Green,ft,1099.4136,1099.4136,1099.4136,GTM,15.5,-90.25
63,Arabica,Guatemala,oriente,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,84.25,0.1,Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
64,Arabica,Guatemala,san marcos,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,84.17,0.13,Green,m,1700.0,1700.0,1700.0,GTM,15.5,-90.25
65,Arabica,Guatemala,huehuetenango,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,84.17,0.11,Green,ft,1116.7872,1116.7872,1116.7872,GTM,15.5,-90.25
66,Arabica,Guatemala,solola,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,84.17,0.1,Green,m,1565.0,1565.0,1565.0,GTM,15.5,-90.25
67,Arabica,Guatemala,norte,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,84.17,0.1,Green,m,3280.0,3280.0,3280.0,GTM,15.5,-90.25
68,Arabica,Guatemala,,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.17,0.11,Bluish-Green,m,,,,GTM,15.5,-90.25
69,Arabica,Guatemala,oriente,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,84.17,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
70,Arabica,Guatemala,guatemala,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,10.0,7.67,84.17,0.11,Bluish-Green,m,,,,GTM,15.5,-90.25
71,Arabica,Guatemala,oriente,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,7.67,84.08,0.1,Green,m,,,,GTM,15.5,-90.25
72,Arabica,Guatemala,"aldea xeucalvitz, ixil region, quiche department",Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,84.08,0.1,Bluish-Green,m,1550.0,1550.0,1550.0,GTM,15.5,-90.25
73,Arabica,Guatemala,huehuetenango,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,84.0,0.12,Green,ft,1658.112,1755.648,1706.88,GTM,15.5,-90.25
74,Arabica,Guatemala,oriente,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,84.0,0.1,Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
75,Arabica,Guatemala,oriente,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,84.0,0.1,Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
76,Arabica,Guatemala,antigua,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,83.83,0.11,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
77,Arabica,Guatemala,oriente,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,83.83,0.1,Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
78,Arabica,Guatemala,oriente,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,83.83,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
79,Arabica,Guatemala,quetzaltenango,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,83.75,0.11,Bluish-Green,m,1300.0,1300.0,1300.0,GTM,15.5,-90.25
80,Arabica,Guatemala,huehuetenango,Washed / Wet,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,7.5,83.67,0.1,Green,ft,1356.6648,1356.6648,1356.6648,GTM,15.5,-90.25
81,Arabica,Guatemala,oriente,Washed / Wet,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,7.5,83.67,0.12,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
82,Arabica,Guatemala,oriente,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,7.67,83.67,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
83,Arabica,Guatemala,oriente,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8.0,83.67,0.11,Green,m,1450.0,1450.0,1450.0,GTM,15.5,-90.25
84,Arabica,Guatemala,oriente,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,7.5,83.67,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
85,Arabica,Guatemala,"sacatepequez, guatemala",Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,7.83,83.67,0.1,Green,ft,1524.0,1524.0,1524.0,GTM,15.5,-90.25
86,Arabica,Guatemala,huehuetenango,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.58,0.11,Green,ft,1128.3696,1128.3696,1128.3696,GTM,15.5,-90.25
87,Arabica,Guatemala,oriente,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.5,0.1,Bluish-Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
88,Arabica,Guatemala,atitlan,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,83.5,0.1,Green,m,1400.0,1400.0,1400.0,GTM,15.5,-90.25
89,Arabica,Guatemala,atitlan,Washed / Wet,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,7.5,83.5,0.1,Green,ft,1524.0,1524.0,1524.0,GTM,15.5,-90.25
90,Arabica,Guatemala,oriente,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,83.5,0.0,Green,ft,1402.08,1402.08,1402.08,GTM,15.5,-90.25
91,Arabica,Guatemala,san marcos,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,83.42,0.1,Green,m,1700.0,1700.0,1700.0,GTM,15.5,-90.25
92,Arabica,Guatemala,oriente,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,83.42,0.1,Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
93,Arabica,Guatemala,antigua,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,83.42,0.1,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
94,Arabica,Guatemala,oriente,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,83.42,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
95,Arabica,Guatemala,oriente,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.33,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
96,Arabica,Guatemala,nuevo oriente,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,7.67,83.25,0.11,Green,m,2100.0,2100.0,2100.0,GTM,15.5,-90.25
97,Arabica,Guatemala,antigua,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,83.25,0.1,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
98,Arabica,Guatemala,oriente,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,7.42,83.25,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
99,Arabica,Guatemala,oriente,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.17,0.1,Green,m,1901.0,1901.0,1901.0,GTM,15.5,-90.25
100,Arabica,Guatemala,antigua,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,7.5,83.17,0.11,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
101,Arabica,Guatemala,antigua,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.5,83.17,0.11,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
102,Arabica,Guatemala,oriente,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.42,83.17,0.12,Green,m,1400.0,1900.0,1650.0,GTM,15.5,-90.25
103,Arabica,Guatemala,san marcos,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,10.0,10.0,10.0,7.67,83.17,0.09,Green,ft,1524.0,1524.0,1524.0,GTM,15.5,-90.25
104,Arabica,Guatemala,oriente,Washed / Wet,7.67,7.83,7.33,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
105,Arabica,Guatemala,oriente,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,7.5,83.17,0.0,Green,ft,1402.08,1402.08,1402.08,GTM,15.5,-90.25
106,Arabica,Guatemala,,None,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10.0,10.0,7.75,83.08,0.02,None,m,,,,GTM,15.5,-90.25
107,Arabica,Guatemala,nuevo oriente,Washed / Wet,7.67,7.75,7.33,7.92,7.42,7.5,10.0,10.0,10.0,7.42,83.0,0.11,Green,m,1300.0,1800.0,1550.0,GTM,15.5,-90.25
108,Arabica,Guatemala,"el tumbador, san marcos",Washed / Wet,7.75,7.67,7.33,7.75,7.5,7.42,10.0,10.0,10.0,7.58,83.0,0.11,Green,ft,1371.6,1371.6,1371.6,GTM,15.5,-90.25
109,Arabica,Guatemala,antigua,Washed / Wet,7.83,7.67,7.25,7.67,7.75,7.5,10.0,10.0,10.0,7.33,83.0,0.11,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
110,Arabica,Guatemala,antigua,Washed / Wet,7.67,7.67,7.42,7.83,7.5,7.5,10.0,10.0,10.0,7.42,83.0,0.1,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
111,Arabica,Guatemala,"la reforma, san marcos",Washed / Wet,7.5,7.67,7.5,7.67,7.5,7.83,10.0,10.0,10.0,7.33,83.0,0.1,Green,ft,1371.6,1371.6,1371.6,GTM,15.5,-90.25
112,Arabica,Guatemala,antigua,Washed / Wet,7.75,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.5,82.92,0.1,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
113,Arabica,Guatemala,antigua,Natural / Dry,7.67,7.83,7.42,7.5,7.33,7.5,10.0,10.0,10.0,7.67,82.92,0.1,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
114,Arabica,Guatemala,,Washed / Wet,7.58,7.58,7.25,7.58,7.58,7.58,10.0,10.0,10.0,7.75,82.92,0.1,Green,m,,,,GTM,15.5,-90.25
115,Arabica,Guatemala,huehuetenango,Washed / Wet,7.83,7.75,7.25,7.92,7.5,7.17,10.0,10.0,10.0,7.5,82.92,0.11,Green,ft,1658.112,1755.648,1706.88,GTM,15.5,-90.25
116,Arabica,Guatemala,san marcos,Washed / Wet,7.5,7.58,7.33,7.67,7.58,7.58,10.0,10.0,10.0,7.58,82.83,0.11,Green,m,1700.0,1700.0,1700.0,GTM,15.5,-90.25
117,Arabica,Guatemala,oriente,Washed / Wet,7.58,7.58,7.33,7.67,7.67,7.5,10.0,10.0,10.0,7.5,82.83,0.11,Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
118,Arabica,Guatemala,antigua,Washed / Wet,7.67,7.67,7.75,7.67,7.42,7.17,10.0,10.0,10.0,7.5,82.83,0.1,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
119,Arabica,Guatemala,oriente,Washed / Wet,7.67,7.67,7.33,7.5,7.33,7.92,10.0,10.0,10.0,7.42,82.83,0.11,Green,ft,1310.64,1310.64,1310.64,GTM,15.5,-90.25
120,Arabica,Guatemala,santa rosa,Washed / Wet,7.5,7.58,7.42,7.67,7.58,7.5,10.0,10.0,10.0,7.5,82.75,0.1,Green,m,1100.0,1100.0,1100.0,GTM,15.5,-90.25
121,Arabica,Guatemala,santa rosa,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.42,10.0,10.0,10.0,7.5,82.75,0.11,Green,m,1800.0,1800.0,1800.0,GTM,15.5,-90.25
122,Arabica,Guatemala,san marcos,Washed / Wet,7.5,7.67,7.17,7.67,7.67,7.58,10.0,10.0,10.0,7.5,82.75,0.11,Green,m,1700.0,1700.0,1700.0,GTM,15.5,-90.25
123,Arabica,Guatemala,santa rosa,Washed / Wet,7.5,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.58,82.75,0.1,Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
124,Arabica,Guatemala,oriente,Washed / Wet,7.42,7.58,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.67,82.75,0.1,Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
125,Arabica,Guatemala,el progreso,Washed / Wet,7.58,7.58,7.33,7.58,7.33,7.67,10.0,10.0,10.0,7.67,82.75,0.12,Green,ft,157.8864,157.8864,157.8864,GTM,15.5,-90.25
126,Arabica,Guatemala,jalapa,Washed / Wet,7.75,7.42,7.25,7.75,7.5,7.67,10.0,10.0,10.0,7.42,82.75,0.13,Green,ft,1524.0,1524.0,1524.0,GTM,15.5,-90.25
127,Arabica,Guatemala,antigua,Washed / Wet,7.67,7.67,7.17,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.67,0.11,Green,m,1500.0,1500.0,1500.0,GTM,15.5,-90.25
128,Arabica,Guatemala,oriente,Washed / Wet,7.5,7.42,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.5,82.58,0.1,Green,ft,1219.2,1219.2,1219.2,GTM,15.5,-90.25
129,Arabica,Guatemala,,Natural / Dry,7.5,7.58,7.42,7.58,7.42,7.58,10.0,10.0,10.0,7.5,82.58,0.0,Blue-Green,m,,,,GTM,15.5,-90.25
